,zip_code,sa1,sa2,closing_date,list_price,sold_price,prop_type,year_built,sq_ft,bedrooms,bathrooms,sub_div,sub_area,taxes,school_district,garage_spaces,parking_spaces,basement,hoa_fees,financial_terms
839,80016,26033 E Peakview Place,"Aurora, CO 80016","Mar 05, 2021","$679,000","$679,000",Single Family Residential,2010,4392,6,4,Beacon Point,Beacon Point,"$4,902",Cherry Creek 5,4,4,"Finished, Partial",$150,Conventional
840,80016,6576 S Andes Place,"Centennial, CO 80016","Jul 01, 2020","$690,000","$679,000",Single Family Residential,1975,2566,4,3,Piney Creek Ranches,Piney Creek Ranches,"$3,009",Cherry Creek 5,2,2,"Crawl Space, Exterior Entry, Finished, Walk-Out Access",,Conventional
841,80016,6080 S Biscay Street,"Aurora, CO 80016","Aug 14, 2020","$679,000","$679,000",Single Family Residential,1999,4772,6,5,Siena,Siena,"$4,413",Cherry Creek 5,3,3,"Crawl Space, Finished, Interior Entry, Partial, Bath/Stubbed, Sump Pump",$68,Conventional
842,80016,27586 E Jamison Circle,"Aurora, CO 80016","Aug 15, 2018","$679,000","$679,000",Single Family Residential,2015,5508,2,3,Blackstone Country Club,Blackstone Country Club,"$6,445",Cherry Creek 5,3,3,"Daylight, Full, Unfinished",$125,Conventional
843,80016,16284 E Lake Drive,"Centennial, CO 80016","Mar 25, 2020","$678,800","$678,800",Single Family Residential,2004,4431,4,4,Piney Creek Village,Piney Creek Village,"$5,939",Cherry Creek 5,3,3,"Crawl Space, Full, Unfinished, Sump Pump",$850,Conventional
844,80016,6086 S Biscay Street,"Aurora, CO 80016","Apr 15, 2019","$669,000","$678,000",Single Family Residential,1999,4681,5,5,Siena,Siena,"$4,225",Cherry Creek 5,3,3,"Full, Finished, Heated",$86,Conventional
845,80016,5795 S Grand Baker Court,"Aurora, CO 80016","Apr 16, 2021","$729,995","$677,866",Single Family Residential,2020,3710,5,3,Sorrel Ranch,Sorrel Ranch,,Cherry Creek 5,3,3,"Full, Finished, Sump Pump",$60,Conventional
846,80016,23139 E Narrowleaf Drive,"Aurora, CO 80016","Apr 18, 2019","$683,850","$676,350",Single Family Residential,2018,5238,4,5,Inspiration,Inspiration,"$6,798",Douglas RE-1,3,3,"Full, Interior Entry, Bath/Stubbed, Unfinished",$288,Conventional
847,80016,23389 E Glidden Drive,"Aurora, CO 80016","Mar 22, 2021","$659,000","$676,200",Single Family Residential,2011,4083,5,5,Inspiration,Inspiration,"$5,492",Douglas RE-1,3,3,Finished,$292,Conventional
848,80016,23271 E Rockinghorse Parkway,"Aurora, CO 80016","Sep 26, 2018","$671,189","$676,189",Single Family Residential,2018,4331,3,4,Inspiration,Inspiration,"$7,426",Douglas RE-1,3,3,"Interior Entry, Partial, Bath/Stubbed, Unfinished, Heated, Sump Pump",$84,Conventional
849,80016,7676 S Patsburg Way,"Aurora, CO 80016","Mar 03, 2021","$726,028","$676,048",Single Family Residential,2020,3704,5,3,Cherry Hollow,Cherry Hollow,,Cherry Creek 5,2,2,"Full, Finished, Sump Pump",$85,Conventional
